Epoch [1/100], Train Loss: 4.8738, Train Accuracy: 0.69%, Validation Loss: 4.8359, Validation Accuracy: 0.78%
Epoch [2/100], Train Loss: 4.8228, Train Accuracy: 1.37%, Validation Loss: 4.7422, Validation Accuracy: 1.86%
Epoch [3/100], Train Loss: 4.7005, Train Accuracy: 1.76%, Validation Loss: 4.6267, Validation Accuracy: 2.55%
Epoch [4/100], Train Loss: 4.5643, Train Accuracy: 3.43%, Validation Loss: 4.5150, Validation Accuracy: 4.41%
Epoch [5/100], Train Loss: 4.4749, Train Accuracy: 4.71%, Validation Loss: 4.3833, Validation Accuracy: 7.45%
Epoch [6/100], Train Loss: 4.3627, Train Accuracy: 6.47%, Validation Loss: 4.2078, Validation Accuracy: 10.88%
Epoch [7/100], Train Loss: 4.2311, Train Accuracy: 10.98%, Validation Loss: 4.0424, Validation Accuracy: 15.00%
Epoch [8/100], Train Loss: 4.1102, Train Accuracy: 13.73%, Validation Loss: 3.8869, Validation Accuracy: 18.04%
Epoch [9/100], Train Loss: 3.9495, Train Accuracy: 17.84%, Validation Loss: 3.7007, Validation Accuracy: 24.71%
Epoch [10/100], Train Loss: 3.7896, Train Accuracy: 23.63%, Validation Loss: 3.5330, Validation Accuracy: 29.51%
Epoch [11/100], Train Loss: 3.6610, Train Accuracy: 27.25%, Validation Loss: 3.3371, Validation Accuracy: 35.10%
Epoch [12/100], Train Loss: 3.5784, Train Accuracy: 28.04%, Validation Loss: 3.1605, Validation Accuracy: 38.53%
Epoch [13/100], Train Loss: 3.3079, Train Accuracy: 37.45%, Validation Loss: 2.9913, Validation Accuracy: 44.41%
Epoch [14/100], Train Loss: 3.2322, Train Accuracy: 39.80%, Validation Loss: 2.8645, Validation Accuracy: 47.16%
Epoch [15/100], Train Loss: 3.0588, Train Accuracy: 43.04%, Validation Loss: 2.7110, Validation Accuracy: 50.69%
Epoch [16/100], Train Loss: 2.9745, Train Accuracy: 43.53%, Validation Loss: 2.5659, Validation Accuracy: 52.65%
Epoch [17/100], Train Loss: 2.8034, Train Accuracy: 48.73%, Validation Loss: 2.4293, Validation Accuracy: 57.45%
Epoch [18/100], Train Loss: 2.7158, Train Accuracy: 50.88%, Validation Loss: 2.3309, Validation Accuracy: 58.24%
